iter	RMSE
128	2.182693348
129	2.180493605
130	2.177929271
131	2.17578146
132	2.173294118
133	2.171061625
134	2.169221944
135	2.166796351
136	2.164828909
137	2.163146296
138	2.161420423
139	2.160063407
140	2.157902585
141	2.15665132
142	2.153044464
143	2.151796305
144	2.15044238
145	2.148795509
146	2.147688885
147	2.146955338
148	2.145821219
149	2.144489222
150	2.142836595
151	2.141277014
152	2.139864099
153	2.139385966
154	2.138320131
155	2.137111204
156	2.135855995
157	2.135287136
158	2.134266831
159	2.132294945
160	2.131066321
161	2.129916075
162	2.127342745
163	2.126395983
164	2.125046762
165	2.12431102
166	2.123848736
167	2.122695511
168	2.12188117
169	2.120946486
170	2.120255756
171	2.119403089
172	2.117904557
173	2.117315164
174	2.115650274
175	2.114636983
176	2.113849668
177	2.112755822
178	2.112218118
179	2.10981424
180	2.108401764
181	2.106837578
182	2.10527839
183	2.10470163
184	2.103001492
185	2.102300552
186	2.101678343
187	2.101004301
188	2.100287717
189	2.099715696
190	2.099149994
191	2.09808007
192	2.097505816
193	2.096948116
194	2.09604479
195	2.095706763
196	2.094485218
197	2.094018994
198	2.09254531
199	2.091585999
200	2.091065795
201	2.090722804
202	2.090344791
203	2.08957338
204	2.089089804
205	2.088620725
206	2.088153569
207	2.087820734
208	2.087396045
209	2.087149804
210	2.085896874
211	2.085392271
212	2.084303834
213	2.084056726
214	2.083612757
215	2.082883089
216	2.082250624
217	2.081885627
218	2.081369513
219	2.080892868
220	2.080288116
221	2.079444111
222	2.078001758
223	2.077117359
224	2.076611643
225	2.076080121
226	2.075669543
227	2.075128046
228	2.074552053
229	2.073754567
230	2.072996012
231	2.072582858
232	2.071988569
233	2.071764914
234	2.071457598
235	2.070391448
236	2.068465674
237	2.067724404
238	2.066550731
239	2.065905363
240	2.064964948
241	2.063773445
242	2.062771036
243	2.062177733
244	2.06154838
245	2.06106992
246	2.060643698
247	2.06008001
248	2.059740108
249	2.059004352
250	2.058218918
251	2.05775043
252	2.0571425
253	2.056668381
254	2.056354387
255	2.055824105
256	2.055348169
257	2.055050144
258	2.054526948
259	2.054178481
260	2.053648085
261	2.052925256
262	2.052484192
263	2.052207259
264	2.051579056
265	2.051164572
266	2.05072975
267	2.050178615
268	2.049933958
269	2.049319118
270	2.046614856
271	2.046228291
272	2.045750867
273	2.045518684
274	2.04529366
275	2.043797074
276	2.043483821
277	2.043306917
278	2.043093165
279	2.042548411
280	2.042198847
281	2.041866325
282	2.041031291
283	2.040179714
284	2.039961508
285	2.039648428
286	2.039226766
287	2.039034916
288	2.038848941
289	2.038366049
290	2.038155093
291	2.0379041
292	2.034705219
293	2.034460209
294	2.033967192
295	2.033680383
296	2.033178143
297	2.032903459
298	2.032299338
299	2.031861247
300	2.031586627
301	2.030920162
302	2.028169929
303	2.027830085
304	2.027570222
305	2.027323072
306	2.027197117
307	2.027092547
308	2.026951852
309	2.02672413
310	2.026528948
311	2.024607908
312	2.024325066
313	2.023928601
314	2.023561721
315	2.022214014
316	2.021380613
317	2.020837345
318	2.020210425
319	2.019916124
320	2.019182742
321	2.018558158
322	2.01819462
323	2.017924448
324	2.017662186
325	2.017516769
326	2.017125406
327	2.016521514
328	2.016147529
329	2.014876616
330	2.014242233
331	2.014031327
332	2.012892198
333	2.012753041
334	2.012553751
335	2.012420117
336	2.012339218
337	2.011925384
338	2.010923105
339	2.010781279
340	2.010407895
341	2.00991187
342	2.00699856
343	2.006607539
344	2.006229858
345	2.005917143
346	2.00497184
347	2.004718499
348	2.002491019
349	2.0023547
350	2.000734986
351	2.000056485
352	1.999666048
353	1.997750866
354	1.997096035
355	1.996609843
356	1.995798996
357	1.995289798
358	1.993364308
359	1.993250158
360	1.992660673
361	1.991273094
362	1.991038248
363	1.990685577
364	1.989936689
365	1.989828603
366	1.988198383
367	1.987860339
368	1.987511275
369	1.986484242
370	1.986246015
371	1.98571849
372	1.98383074
373	1.982515283
374	1.981858907
375	1.981601056
376	1.981392406
377	1.980372347
378	1.979941543
379	1.97762494
380	1.977491291
381	1.976141963
382	1.975929444
383	1.975472269
384	1.974783195
385	1.974395012
386	1.974025362
387	1.97352179
388	1.973014128
389	1.972111977
390	1.971848808
391	1.971352229
392	1.969705322
393	1.967468708
394	1.966665552
395	1.966180486
396	1.965590771
397	1.965371198
398	1.964115393
399	1.963651148
400	1.963253137
401	1.962465829
402	1.962050362
403	1.961736577
404	1.960402089
405	1.959870769
406	1.959267985
407	1.958976691
408	1.956587383
409	1.956185939
410	1.955599913
411	1.955239441
412	1.954760295
413	1.953643687
414	1.95292943
415	1.951933827
416	1.950644201
417	1.948372394
418	1.948166872
419	1.947645553
420	1.947146048
421	1.946541626
422	1.946421477
423	1.944999546
424	1.944844586
425	1.944651483
426	1.943750617
427	1.943465914
428	1.941298186
429	1.940877068
430	1.940504396
431	1.940110164
432	1.939989943
433	1.939885689
434	1.938566993
435	1.938372947
436	1.938011855
437	1.93616638
438	1.934586041
439	1.934007071
440	1.933437633
441	1.933184903
442	1.932672231
443	1.932196082
444	1.931799677
445	1.931491392
446	1.93139396
447	1.930781296
448	1.930089921
449	1.929898898
450	1.929453699
451	1.929230496
452	1.928684909
453	1.927485114
454	1.926798602
455	1.926315211
456	1.925976831
457	1.925626017
458	1.925048159
459	1.924748509
460	1.924448993
461	1.92391933
462	1.92366208
463	1.92328864
464	1.92117106
465	1.920119469
466	1.919689455
467	1.91938754
468	1.919167684
469	1.918501971
470	1.918428364
471	1.917518351
472	1.917343633
473	1.916176449
474	1.915951859
475	1.915441066
476	1.915201247
477	1.914696226
478	1.91436993
479	1.913918516
480	1.91291291
481	1.912618813
482	1.911412504
483	1.909608903
484	1.90911802
485	1.908972211
486	1.908873695
487	1.90738932
488	1.906994179
489	1.90683568
490	1.906464857
491	1.905062341
492	1.903486726
493	1.9031765
494	1.901117947
495	1.900990679
496	1.899704849
497	1.899548496
498	1.898998873
499	1.898697387
500	1.897287144
501	1.897001331
502	1.896780413
503	1.896305881
504	1.896051532
505	1.895768208
506	1.894971291
507	1.894464131
508	1.894127339
509	1.89388144
510	1.893681552
511	1.893385977
512	1.892660221
513	1.891780579
514	1.890697988
515	1.890425747
516	1.890088821
517	1.888863578
518	1.887816928
519	1.886909128
520	1.886579156
521	1.885102152
522	1.883683352
523	1.883082544
524	1.882928256
525	1.882723228
526	1.882205472
527	1.882081286
528	1.880987809
529	1.880865764
530	1.880322475
531	1.878561158
532	1.878102367
533	1.877686295
534	1.87724454
535	1.876802281
536	1.876706241
537	1.876092328
538	1.873963746
539	1.873857114
540	1.873416284
541	1.87300838
542	1.872815057
543	1.872345728
544	1.87126332
545	1.871149748
546	1.870738412
547	1.870286591
548	1.870124459
549	1.869154186
550	1.868944597
551	1.868399813
552	1.868231745
553	1.867790379
554	1.86746489
555	1.866957916
556	1.866716249
557	1.866474579
558	1.866023629
559	1.865769175
560	1.864682238
561	1.864476847
562	1.863317485
563	1.861988102
564	1.86188118
565	1.86074511
566	1.860133301
567	1.859916353
568	1.859689959
569	1.858875884
570	1.858728976
571	1.857867734
572	1.857728608
573	1.857368017
574	1.856682804
575	1.856105754
576	1.855297126
577	1.855119897
578	1.854883579
579	1.8545152
580	1.854358709
581	1.853167613
582	1.853024117
583	1.852746834
584	1.852329904
585	1.852286508
586	1.850248041
587	1.848988226
588	1.848182727
589	1.84806462
590	1.847675471
591	1.847277279
592	1.845897842
593	1.845602384
594	1.844573766
595	1.844376482
596	1.844139224
597	1.843387168
598	1.843216726
599	1.84301641
600	1.842832037
601	1.842123301
602	1.84171209
603	1.841635595
604	1.840322214
605	1.83982828
606	1.839435674
607	1.839127029
608	1.837658343
609	1.837489185
610	1.837064193
611	1.836876089
612	1.835692942
613	1.835191154
614	1.834390995
615	1.833166167
616	1.832789157
617	1.832114141
618	1.831709829
619	1.831365642
620	1.831209489
621	1.831048313
622	1.830755835
623	1.829904911
624	1.829326835
625	1.829240783
626	1.828894604
627	1.82823425
628	1.827937564
629	1.827780843
630	1.826336962
631	1.825694649
632	1.825540179
633	1.825442023
634	1.825128894
635	1.823734519
636	1.82289759
637	1.82248386
638	1.822246027
639	1.821849072
640	1.821618958
641	1.821052666
642	1.820629046
643	1.82000312
644	1.819265573
645	1.818269965
646	1.818166397
647	1.817964691
648	1.817629358
649	1.817264045
650	1.817179653
651	1.817015421
652	1.816917093
653	1.816192592
654	1.814803851
655	1.814612521
656	1.814277791
657	1.814184153
658	1.813981461
659	1.813288846
660	1.812223667
661	1.811154218
662	1.810769219
663	1.8094488
664	1.809253935
665	1.808606488
666	1.807967512
667	1.80721275
668	1.807099873
669	1.806899306
670	1.805877929
671	1.805558728
672	1.805161296
673	1.80481176
674	1.804263285
675	1.804023665
676	1.80383399
677	1.803522877
678	1.802066226
679	1.801419014
680	1.801016305
681	1.80075273
682	1.800165242
683	1.799992915
684	1.799526078
685	1.798699311
686	1.79839712
687	1.798150588
688	1.79774398
689	1.797563824
690	1.797415881
691	1.797131401
692	1.796249217
693	1.796083344
694	1.795179119
695	1.794846227
696	1.793623644
697	1.79348377
698	1.793059647
699	1.792090001
700	1.791696439
701	1.791566456
702	1.790337579
703	1.788976529
704	1.788133438
705	1.788051635
706	1.786753894
707	1.786662954
708	1.786078939
709	1.785806815
710	1.785689285
711	1.784644172
712	1.784488009
713	1.784334687
714	1.784119846
715	1.783949379
716	1.783881454
717	1.783807685
718	1.783456928
719	1.783433819
720	1.782921601
721	1.781955185
722	1.78164781
723	1.781306002
724	1.781237001
725	1.780083218
726	1.779903729
727	1.779839646
728	1.779759938
729	1.779414386
730	1.778963968
731	1.778200289
732	1.777739476
733	1.777524473
734	1.77741946
735	1.776793084
736	1.776454875
737	1.775598849
738	1.775253942
739	1.774881068
740	1.774498313
741	1.774194118
742	1.772921018
743	1.77220513
744	1.771701499
745	1.771252332
746	1.771105898
747	1.770951957
748	1.770665563
749	1.77034566
750	1.770234792
751	1.769611604
752	1.769479737
753	1.769367493
754	1.768918614
755	1.768001403
756	1.767463448
757	1.767152975
758	1.765972698
759	1.76512016
760	1.765029658
761	1.764909608
762	1.763590615
763	1.763188299
764	1.762953528
765	1.762830659
766	1.762556568
767	1.762532713
768	1.762238685
769	1.76208472
770	1.76204075
771	1.761928712
772	1.761838243
773	1.761711455
774	1.761117293
775	1.760031615
776	1.759885795
777	1.759748633
778	1.759622602
779	1.758909787
780	1.758378307
781	1.758047922
782	1.757484998
783	1.757391843
784	1.756805498
785	1.756439958
786	1.756354344
787	1.755101546
788	1.754971723
789	1.754163572
790	1.754090334
791	1.754057322
792	1.753928593
793	1.753567587
794	1.752459902
795	1.752323567
796	1.751452752
797	1.750789847
798	1.75027201
799	1.750216577
800	1.749761055
801	1.749451206
802	1.749203034
803	1.748700818
804	1.748404721
805	1.748326363
806	1.748074559
807	1.747317218
808	1.747229662
809	1.747145051
810	1.747060008
811	1.746966313
812	1.746803887
813	1.746755649
814	1.746107366
815	1.745370595
816	1.744901568
817	1.744855764
818	1.744273834
819	1.744149347
820	1.743974562
821	1.743339912
822	1.742529037
823	1.742430144
824	1.742329084
825	1.742220079
826	1.741785815
827	1.741022388
828	1.740841526
829	1.740768352
830	1.740407038
831	1.739962273
832	1.738831166
833	1.73874219
834	1.737798533
835	1.737662505
836	1.737347169
837	1.7371229
838	1.736595755
839	1.736336019
840	1.735763016
841	1.734489516
842	1.73443711
843	1.733733612
844	1.732882889
845	1.732817082
846	1.732719719
847	1.731986522
848	1.731533789
849	1.730964424
850	1.730102088
851	1.728995984
852	1.728716284
853	1.727933462
854	1.727355102
855	1.72709104
856	1.725221128
857	1.725126659
858	1.724664473
859	1.723816323
860	1.72370078
861	1.723226687
862	1.722597558
863	1.722346105
864	1.722237162
865	1.721673824
866	1.720942907
867	1.719786311
868	1.718676404
869	1.71857269
870	1.717840516
871	1.717264092
872	1.717165779
873	1.716673568
874	1.716557598
875	1.71631621
876	1.714089111
877	1.71385205
878	1.713582378
879	1.712843042
880	1.712286497
881	1.712262802
882	1.712146314
883	1.711628643
884	1.71093099
885	1.71087731
886	1.710632642
887	1.71032469
888	1.710200888
889	1.710007474
890	1.709471014
891	1.709352473
892	1.709207752
893	1.709164923
894	1.709074765
895	1.707952184
896	1.707769168
897	1.707431119
898	1.707317465
899	1.706325704
900	1.706020343
901	1.705432793
902	1.704970758
903	1.704699821
904	1.704214216
905	1.703776772
906	1.703053537
907	1.70243268
908	1.702301559
909	1.702301085
910	1.702049742
911	1.701954048
912	1.701391668
913	1.701130319
914	1.701014755
915	1.700399712
916	1.699867765
917	1.699244309
918	1.698701846
919	1.698139931
920	1.698091496
921	1.697908723
922	1.697832842
923	1.696798234
924	1.694984668
925	1.69495191
926	1.694596224
927	1.69391995
928	1.693484042
929	1.693252976
930	1.693128219
931	1.692949507
932	1.692229664
933	1.692151061
934	1.691793489
935	1.691531968
936	1.69114664
937	1.691062116
938	1.689864324
939	1.689824611
940	1.68973099
941	1.689265975
942	1.689035761
943	1.688547673
944	1.688287481
945	1.687973354
946	1.687422015
947	1.687031574
948	1.686609658
949	1.686090167
950	1.685773869
951	1.685703601
952	1.685640293
953	1.685486542
954	1.685465785
955	1.685359985
956	1.685261567
957	1.685220348
958	1.684815559
959	1.684212324
960	1.684022444
961	1.683554677
962	1.683395557
963	1.682658255
964	1.682322713
965	1.682043454
966	1.68106404
967	1.680656123
968	1.680420883
969	1.680327636
970	1.679689135
971	1.679610709
972	1.679149681
973	1.678926904
974	1.678822916
975	1.678746741
976	1.678370416
977	1.678029992
978	1.677928566
979	1.677385076
980	1.677340112
981	1.677095625
982	1.677050684
983	1.676563706
984	1.676389768
985	1.676321922
986	1.676124667
987	1.676063314
988	1.675941421
989	1.675495242
990	1.675358488
991	1.675284125
992	1.675240176
993	1.674496152
994	1.674416951
995	1.674327473
996	1.673490406
997	1.673430601
998	1.672555641
999	1.672501196
